Estado,2020.03.17,2020.03.18,2020.03.19,2020.03.20,2020.03.21,2020.03.22,2020.03.23,2020.03.24,2020.03.25,2020.03.26,2020.03.27,2020.03.28,2020.03.29,2020.03.30,2020.03.31,2020.04.01,2020.04.02,2020.04.03,2020.04.04,2020.04.05,2020.04.06,2020.04.07,2020.04.08,2020.04.09,2020.04.10,2020.04.11,2020.04.12,2020.04.13,2020.04.14,2020.04.15,2020.04.16
Aguascalientes,0,0,3,0,0,0,2,0,6,1,6,0,5,0,12,0,11,1,1,0,0,4,0,0,0,2,0,0,10,0,6
Baja California,0,2,0,2,4,3,2,0,1,5,1,0,3,4,8,2,3,12,2,15,42,25,89,14,19,20,57,33,44,52,41
Baja California Sur,0,0,0,0,1,0,1,0,3,2,2,0,2,2,4,1,1,2,6,1,26,2,12,0,17,17,18,33,11,1,1
Campeche,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,2,0,1,5,0,0,1,3,1,10,4,10,2
Chiapas,0,0,1,0,0,0,0,0,2,0,3,-1,4,1,2,1,1,3,1,6,1,2,4,2,4,1,4,0,2,3,6
Chihuahua,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,4,0,1,1,2,7,0,7,13,12,0,7,6,2,14,25
Coahuila,0,0,0,0,2,7,2,0,0,1,1,1,17,7,5,13,5,8,2,10,20,7,13,7,14,13,1,19,18,1,19
Colima,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
Ciudad de México,0,3,7,0,14,11,4,6,16,1,24,70,19,9,29,62,31,57,85,91,49,114,132,54,131,77,211,109,119,130,142
Durango,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,3,0,1,0,0,0,0,-1,1,1
Guanajuato,1,3,0,0,0,0,3,5,7,4,8,6,0,6,3,3,1,2,1,0,5,3,6,4,7,3,1,6,2,1,5
Guerrero,0,0,2,0,0,0,1,1,1,0,0,3,3,0,2,2,5,2,1,5,2,5,10,2,5,2,14,7,11,9,3
Hidalgo,0,0,2,0,1,2,2,0,0,5,0,0,5,0,2,2,5,4,2,2,1,6,5,1,4,2,5,0,6,0,3
Jalisco,3,1,16,6,4,9,5,0,0,18,13,5,1,7,4,5,5,12,4,3,3,9,4,0,5,6,6,3,6,11,2
México,1,0,0,4,0,8,0,0,4,20,24,15,34,17,13,8,14,6,3,24,57,59,34,45,71,28,25,35,44,57,36
Michoacán,0,0,0,0,0,3,4,1,2,1,5,1,0,0,4,3,0,0,5,1,3,1,2,10,0,4,11,1,5,3,14
Morelos,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,2,0,3,2,1,2,7,2,9,0,5,4,5,4,3,2
Nayarit,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,1,0,2,4,3,2,1,3,0,2,2
Nuevo León,1,5,0,10,3,3,5,12,0,5,7,0,3,8,1,2,6,1,3,3,2,0,5,9,3,9,5,8,4,14,9
Oaxaca,0,0,0,0,0,1,1,0,3,1,3,1,2,0,0,8,0,0,0,3,2,8,2,3,1,2,0,1,2,4,3
Puebla,1,0,2,3,2,0,0,6,12,11,6,1,14,10,5,16,3,9,16,22,9,23,4,15,16,29,13,13,7,15,14
Querétaro,0,0,2,2,3,0,2,0,2,3,2,2,1,1,2,0,3,3,1,2,2,5,2,3,5,2,4,0,4,4,7
Quintana Roo,0,2,0,5,1,0,9,1,0,7,0,4,5,5,4,4,5,9,10,11,29,20,8,16,4,53,7,16,6,24,7
San Luis Potosí,0,1,4,0,2,3,4,0,1,1,1,1,4,1,0,6,2,2,0,2,0,4,2,4,1,3,2,2,0,1,0
Sinaloa,0,0,1,0,0,1,0,0,0,4,1,5,5,5,3,5,10,9,23,16,7,14,14,13,33,43,15,16,16,31,35
Sonora,1,0,1,0,0,2,0,0,0,3,1,2,4,3,0,1,3,1,5,1,2,5,11,2,7,10,4,3,1,5,11
Tabasco,0,1,0,1,2,1,1,0,0,11,4,6,6,5,10,4,10,11,10,14,10,1,4,1,21,9,10,3,39,15,23
Tamaulipas,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,4,3,4,6,5,1,11,3,2,1,4,0,2,5,18
Tlaxcala,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,3,1,2,3,4,5,6,5,4,2,9,2,7,4
Veracruz,0,2,0,2,3,0,0,0,0,0,10,6,1,2,1,1,1,6,2,3,1,5,3,5,9,10,5,4,12,12,6
Yucatán,1,3,5,0,1,5,0,5,5,3,4,2,3,5,3,3,1,6,3,5,5,2,0,14,0,15,4,7,2,12,3
Zacatecas,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,3,0,-1,1,1,0,3,0,1,1,1,1,0
